Users,MPS_Limit(%),Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),GFLOPs,GPU_Price
1,100,32.4,0.2531,3.95,3.95,38,2.87,0,61.62,40.01,6.99,186.4,67.91,62.46,6.6,26700
2,100,34.2,0.2672,3.75,7.51,39,4.4,0,77.03,50.08,6.99,169.74,68.34,62.44,13.2,26700
3,100,39.6,0.3094,3.23,9.7,45,5.42,0,98.89,64.56,6.99,215.67,71.51,60.64,19.8,26700
