Users,MPS_Limit(%),Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),GFLOPs,GPU_Price
1,100.0,3.6,0.0281,35.56,35.56,86,7.06,0,18.28,9.74,1.43,216.45,104.68,27.77,6.6,1.0
2,50.0,3.6,0.0281,35.56,71.11,98,13.88,0,34.01,17.79,1.43,267.62,137.89,88.58,13.2,1.0
3,33.33,3.6,0.0281,35.56,106.67,100,17.88,0,49.71,24.72,1.43,309.75,147.6,94.45,19.8,1.0
4,25.0,3.6,0.0281,35.56,142.22,100,21.46,0,65.51,31.21,1.43,319.35,152.03,100.41,26.4,1.0
5,20.0,3.6,0.0281,35.56,177.78,100,23.2,0,81.24,37.56,1.43,321.43,156.98,112.02,33.0,1.0
6,16.67,7.2,0.0563,17.78,106.67,100,25.24,0,96.91,44.21,1.43,320.44,160.01,104.9,39.6,1.0
7,14.29,7.2,0.0563,17.78,124.44,100,26.91,0,99.53,46.1,1.43,322.31,162.31,104.28,46.2,1.0
8 OOM,12.5,10.8,0.0844,11.85,94.82,100,26.98,0,99.95,55.99,1.43,324.91,159.12,93.27,52.8,1.0
