Users,MPS_Limit(%),Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),GFLOPs,GPU_Price
1,100.0,18.0,0.1406,7.11,7.11,54,11.65,0,41.21,27.2,8.16,87.8,37.11,15.13,6.6,19900
2,50.0,18.0,0.1406,7.11,14.22,84,15.28,0,74.38,44.43,8.16,118.55,40.54,28.73,13.2,19900
3,33.33,20.4,0.1594,6.32,18.96,80,14.18,0,98.51,53.36,8.23,129.22,43.29,26.16,19.8,19900
