Users,Total_Time(s),Avg_Latency(s),Avg_YOLO_FPS,Aggregate_FPS,GPU_Max(%),GPU_Avg(%),GPU_Min(%),Mem_Max(%),Mem_Avg(%),Mem_Min(%),Power_Max(W),Power_Avg(W),Power_Min(W),MPS_Limit(%),GPU_Price
1,24.48,0.0082,122.55,122.55,27,23.04,0,8.46,8.31,6.08,75.28,71.13,42.9,100.0,26990
2,23.57,0.0079,127.3,254.6,56,47.17,0,9.42,9.14,6.08,93.85,88.1,43.67,50.0,26990
3,26.11,0.0087,115.09,345.26,84,74.95,0,10.39,9.98,6.08,109.03,99.93,45.95,33.33,26990
4,26.98,0.009,111.26,445.03,99,87.25,0,11.39,10.87,6.08,121.7,113.48,50.85,25.0,26990
5,35.31,0.0118,85.17,425.83,99,91.87,0,12.47,11.93,6.08,119.69,112.32,49.46,20.0,26990
6,43.19,0.0144,69.46,416.75,96,88.61,0,13.31,13.0,6.08,121.44,116.2,50.25,16.67,26990
7,48.8,0.0163,61.48,430.34,100,92.9,0,14.52,14.11,6.08,123.56,118.31,48.87,14.29,26990
8,52.98,0.0177,56.62,452.98,100,90.38,0,15.43,14.98,6.08,128.89,123.1,50.5,12.5,26990
9,61.6,0.0205,48.7,438.31,99,94.46,0,16.6,16.2,6.08,126.34,121.58,47.83,11.11,26990
10,64.85,0.0216,46.26,462.6,98,92.04,0,17.77,17.29,6.08,131.32,126.68,48.26,10.0,26990
11,71.49,0.0238,41.96,461.59,100,94.86,0,18.94,18.51,6.08,131.25,126.54,48.19,9.09,26990
12,78.53,0.0262,38.2,458.41,99,93.44,0,20.1,19.61,6.08,132.07,128.11,48.59,8.33,26990
13,83.13,0.0277,36.09,469.14,100,96.52,0,21.27,20.77,6.08,133.89,128.68,47.57,7.69,26990
14,88.41,0.0295,33.93,475.05,100,94.97,0,22.44,21.92,6.08,136.34,131.95,49.37,7.14,26990
15,97.92,0.0326,30.64,459.59,100,96.2,0,23.61,23.1,6.08,132.63,128.86,47.83,6.67,26990
16,100.61,0.0335,29.82,477.09,100,96.19,0,24.78,24.21,6.08,137.33,133.14,48.3,6.25,26990
17,107.19,0.0357,27.99,475.8,100,95.29,0,25.95,25.29,6.08,137.03,131.57,46.98,5.88,26990
